pen	钢笔
pencil	铅笔
ruler	尺子
book	书
bag	包
eraser	橡皮
sharpener	卷笔刀
foot	脚
head	头
face	脸
hair	头发
nose	鼻子
mouse	嘴
eye	眼睛
ear	耳朵
arm	手臂
hand	手
finger	手指
leg	腿
tail	尾巴　　
red	红
blue	蓝
yellow	黄
green	绿
white	白
black	黑
pink	粉红
purple	紫
orange	橙
brown	棕 　　
cat	猫
dog	狗
pig	猪
duck	鸭子
rabbit	兔子
house	马
elephant	大象
ant	蚂蚁
fish	鱼
bird	鸟
snake	蛇
mouse	老鼠
monkey	猴子
panda	熊猫
bear	熊
lion	狮子
tiger	老虎
fox	狐狸
zebra	斑马
deer	鹿
giraffe	长颈鹿
hen	母鸡
goat	山羊
cow	奶牛　　
friend	朋友
boy	男孩
girl	女孩
mother	母亲
father	父亲
sister	姐妹
brother	兄弟
uncle	叔叔
man	男人
woman	女人
Mr	先生
Miss	小姐
mom	妈妈
dad	爸爸
parents	父母
son	儿子
grandma	（外）祖母
grandpa	（外）祖父
aunt	阿姨
baby	婴儿
people	人物
robot	机器人
